Class,Precision,Recall,F1-Score,Support,AUC,Average Precision
T-shirt/top,0.8398474737845567,0.881,0.8599316739873109,1000,0.9916793333333334,0.9368801135512863
Trouser,0.991869918699187,0.976,0.9838709677419355,1000,0.9997388888888888,0.9981942913648256
Pullover,0.7966841186736475,0.913,0.8508853681267474,1000,0.9902581111111112,0.9336174225022567
Dress,0.8735955056179775,0.933,0.902321083172147,1000,0.995733,0.9633707283558355
Coat,0.8290513833992095,0.839,0.8339960238568589,1000,0.9897204444444445,0.9165308890016365
Sandal,0.9761904761904762,0.984,0.9800796812749004,1000,0.9997186666666668,0.9976608881660147
Shirt,0.8386206896551724,0.608,0.7049275362318841,1000,0.971924,0.8364605283878132
Sneaker,0.9611054247697032,0.939,0.9499241274658573,1000,0.9989517777777778,0.9906365265047788
Bag,0.974308300395257,0.986,0.9801192842942346,1000,0.9996295555555555,0.9977111033299151
Ankle boot,0.9509322865554465,0.969,0.9598811292719168,1000,0.9990507777777777,0.9934568281276501
Macro average,0.9032205577740633,0.9028,0.9005936875423792,10000,0.9936404555555555,0.9564519319292012
